# Stream A2 IC results — 2026-05-28
# Source: atlas.weinstein_a2_ic_results (Supabase, project nanvgbhootvvthjujkvs)
# Universe: nifty 500 stocks tagged Large/Mid/Small in atlas_universe_stocks (STATIC_2026, post-2026-05 snapshot)
# Window: 2018-01-01 to 2026-05-28 (8 yrs); excludes Micro per Q5 lock
# cap_tier source: STATIC (atlas_universe_stocks.tier) — PIT history insufficient (3 days); see weinstein-a2-cap-tier-decision.md
# Base rule: Stage 1 -> Stage 2 (UP) or Stage 3 -> Stage 4 (DOWN) crossover with persist_4w >= 0.6 (relaxed from 0.8)
# Confluences (each event flagged pass/fail):
#   L1: 5d avg vol >= 1.5x 60d avg vol      (pass rate 7-12%)
#   L2: clears prior 13W close-high/low      (pass rate 7-11%)
#   L3: RS_3m trend (improving for UP)       (pass rate 40-49%)
#   L4: stage1/3 persist 12W >= 0.5          (pass rate 33-47%; relaxed from 0.7 in plan)
#   L6: liquidity floor (5cr/2cr/50L)        (pass rate 94-99% — too loose)
#   L5 sector confluence: deferred (no sector RS data wired)
# Subsets: S01..S12 (12 combinations per cell)
# Forward return: excess vs NIFTY 500 over 130 calendar days
# IC: Spearman (CORR between indicator and percent_rank(forward_excess_6m) within partition)
# Signed useful IC: ic_spearman for UP, -ic_spearman for DOWN (higher = better)
# Hit rate: fraction of pass events with forward_excess_6m in expected direction (only among passers)
cap_tier,ma_lookback_weeks,event_type,subset_id,n_all,n_pass,events_per_year,hit_rate,mean_excess_pass,ic_spearman
Mid,20,DOWN,S06_+L6,211,197,24.6,0.6244,-0.030037,-0.035326
Mid,20,DOWN,S07_+L1+L2,211,2,0.3,1.0000,-0.079933,-0.024091
Mid,20,DOWN,S08_+L1+L3,211,10,1.3,0.6000,0.091803,0.054930
Mid,20,DOWN,S09_+L2+L3,211,4,0.5,0.5000,0.068290,0.080448
Mid,20,DOWN,S10_+L1+L2+L3,211,2,0.3,1.0000,-0.079933,-0.024091
Mid,20,DOWN,S11_+L1+L2+L3+L4,211,1,0.1,1.0000,-0.099056,-0.029456
Mid,20,DOWN,S12_+L1+L2+L3+L4+L6,211,1,0.1,1.0000,-0.099056,-0.029456
Mid,20,UP,S01_base,249,249,31.1,0.5663,0.081147,
Mid,20,UP,S02_+L1,249,24,3.0,0.6250,0.074402,0.021204
Mid,20,UP,S03_+L2,249,9,1.1,0.5556,0.068510,-0.005089
Mid,20,UP,S04_+L3,249,86,10.8,0.5000,0.037072,-0.119854
Mid,20,UP,S05_+L4,249,114,14.3,0.5439,0.075995,-0.020074
Mid,20,UP,S06_+L6,249,241,30.1,0.5768,0.085318,0.119449
Mid,20,UP,S07_+L1+L2,249,0,0.0,,,
Mid,20,UP,S08_+L1+L3,249,4,0.5,0.5000,0.103966,0.004888
Mid,20,UP,S09_+L2+L3,249,6,0.8,0.5000,0.011988,-0.033156
Mid,20,UP,S10_+L1+L2+L3,249,0,0.0,,,
Mid,20,UP,S11_+L1+L2+L3+L4,249,0,0.0,,,
Mid,20,UP,S12_+L1+L2+L3+L4+L6,249,0,0.0,,,
Mid,30,DOWN,S01_base,191,191,23.9,0.6073,-0.015793,
Mid,30,DOWN,S02_+L1,191,22,2.8,0.5909,0.007536,0.013683
Mid,30,DOWN,S03_+L2,191,17,2.1,0.8235,-0.040895,-0.044686
Mid,30,DOWN,S04_+L3,191,94,11.8,0.6489,-0.030622,-0.081674
Mid,30,DOWN,S05_+L4,191,79,9.9,0.5570,-0.004292,0.092937
Mid,30,DOWN,S06_+L6,191,178,22.3,0.6180,-0.018659,-0.072391
Mid,30,DOWN,S07_+L1+L2,191,2,0.3,1.0000,-0.113192,-0.066233
Mid,30,DOWN,S08_+L1+L3,191,10,1.3,0.7000,-0.079380,-0.089951
Mid,30,DOWN,S09_+L2+L3,191,15,1.9,0.8000,-0.025880,-0.005648
Mid,30,DOWN,S10_+L1+L2+L3,191,1,0.1,1.0000,-0.025112,0.009211
Mid,30,DOWN,S11_+L1+L2+L3+L4,191,1,0.1,1.0000,-0.025112,0.009211
Mid,30,DOWN,S12_+L1+L2+L3+L4+L6,191,1,0.1,1.0000,-0.025112,0.009211
Mid,30,UP,S01_base,175,175,21.9,0.5771,0.041758,
Mid,30,UP,S02_+L1,175,19,2.4,0.4737,0.041252,-0.030179
Mid,30,UP,S03_+L2,175,9,1.1,0.5556,0.066063,0.011779
Mid,30,UP,S04_+L3,175,82,10.3,0.5488,0.009399,-0.116513
Mid,30,UP,S05_+L4,175,58,7.3,0.5862,0.046209,0.032200
Mid,30,UP,S06_+L6,175,169,21.1,0.5740,0.045232,-0.009325
Mid,30,UP,S07_+L1+L2,175,1,0.1,0.0000,-0.030816,-0.031514
Mid,30,UP,S08_+L1+L3,175,8,1.0,0.5000,0.073329,0.021121
Mid,30,UP,S09_+L2+L3,175,6,0.8,0.3333,-0.016042,-0.061543
Mid,30,UP,S10_+L1+L2+L3,175,1,0.1,0.0000,-0.030816,-0.031514
Mid,30,UP,S11_+L1+L2+L3+L4,175,0,0.0,,,
Mid,30,UP,S12_+L1+L2+L3+L4+L6,175,0,0.0,,,
Small,5,DOWN,S01_base,788,788,98.5,0.6117,-0.021056,
Small,5,DOWN,S02_+L1,788,77,9.6,0.5844,-0.041672,-0.024866
Small,5,DOWN,S03_+L2,788,79,9.9,0.6962,-0.093306,-0.089448
Small,5,DOWN,S04_+L3,788,373,46.6,0.5871,0.003018,0.084197
Small,5,DOWN,S05_+L4,788,248,31.0,0.6169,-0.026284,-0.020458
Small,5,DOWN,S06_+L6,788,759,94.9,0.6153,-0.021591,-0.023423
Small,5,DOWN,S07_+L1+L2,788,9,1.1,0.8889,-0.160463,-0.061138
Small,5,DOWN,S08_+L1+L3,788,37,4.6,0.5405,-0.018489,0.002334
Small,5,DOWN,S09_+L2+L3,788,42,5.3,0.6905,-0.128185,-0.069564
Small,5,DOWN,S10_+L1+L2+L3,788,5,0.6,1.0000,-0.186425,-0.061582
Small,5,DOWN,S11_+L1+L2+L3+L4,788,1,0.1,1.0000,-0.364500,-0.056335
Small,5,DOWN,S12_+L1+L2+L3+L4+L6,788,1,0.1,1.0000,-0.364500,-0.056335
Small,5,UP,S01_base,672,672,84.0,0.5521,0.075659,
Small,5,UP,S02_+L1,672,52,6.5,0.6346,0.086800,0.023398
Small,5,UP,S03_+L2,672,98,12.3,0.6429,0.140861,0.114542
Small,5,UP,S04_+L3,672,266,33.3,0.5301,0.050091,-0.046196
Small,5,UP,S05_+L4,672,128,16.0,0.5156,0.057572,-0.036160
Small,5,UP,S06_+L6,672,647,80.9,0.5502,0.073416,-0.008046
Small,5,UP,S07_+L1+L2,672,10,1.3,0.8000,0.262716,0.067792
Small,5,UP,S08_+L1+L3,672,26,3.3,0.5000,0.042526,-0.019530
Small,5,UP,S09_+L2+L3,672,39,4.9,0.6410,0.162276,0.080988
Small,5,UP,S10_+L1+L2+L3,672,5,0.6,1.0000,0.107715,0.016737
Small,5,UP,S11_+L1+L2+L3+L4,672,1,0.1,1.0000,0.299277,0.045074
Small,5,UP,S12_+L1+L2+L3+L4+L6,672,1,0.1,1.0000,0.299277,0.045074
Small,10,DOWN,S01_base,552,552,69.0,0.6793,-0.050653,
Small,10,DOWN,S02_+L1,552,59,7.4,0.6949,-0.085796,-0.030081
Small,10,DOWN,S03_+L2,552,33,4.1,0.7879,-0.043863,-0.044140
Small,10,DOWN,S04_+L3,552,261,32.6,0.6245,-0.019532,0.125458
Small,10,DOWN,S05_+L4,552,232,29.0,0.6983,-0.055488,-0.031830
Small,10,DOWN,S06_+L6,552,530,66.3,0.6849,-0.053448,-0.041205
Small,10,DOWN,S07_+L1+L2,552,5,0.6,1.0000,-0.128680,-0.043499
Small,10,DOWN,S08_+L1+L3,552,26,3.3,0.7692,-0.128844,-0.054790
Small,10,DOWN,S09_+L2+L3,552,14,1.8,0.7143,-0.045202,0.001229
Small,10,DOWN,S10_+L1+L2+L3,552,2,0.3,1.0000,-0.087658,-0.007569
Small,10,DOWN,S11_+L1+L2+L3+L4,552,1,0.1,1.0000,-0.142132,-0.025799
Small,10,DOWN,S12_+L1+L2+L3+L4+L6,552,1,0.1,1.0000,-0.142132,-0.025799
Small,10,UP,S01_base,457,457,57.1,0.5689,0.088826,
Small,10,UP,S02_+L1,457,36,4.5,0.6389,0.097661,-0.011268
Small,10,UP,S03_+L2,457,66,8.3,0.6515,0.205411,0.139813
Small,10,UP,S04_+L3,457,208,26.0,0.5433,0.077475,-0.050261
Small,10,UP,S05_+L4,457,122,15.3,0.5164,0.051441,-0.078215
Small,10,UP,S06_+L6,457,450,56.3,0.5711,0.085496,0.017558
Small,10,UP,S07_+L1+L2,457,11,1.4,0.9091,0.348781,0.096641
Small,10,UP,S08_+L1+L3,457,20,2.5,0.5500,0.014343,-0.051568
Small,10,UP,S09_+L2+L3,457,32,4.0,0.6875,0.193342,0.105038
Small,10,UP,S10_+L1+L2+L3,457,5,0.6,1.0000,0.278772,0.097264
Small,10,UP,S11_+L1+L2+L3+L4,457,1,0.1,1.0000,0.452096,0.067445
Small,10,UP,S12_+L1+L2+L3+L4+L6,457,1,0.1,1.0000,0.452096,0.067445
Small,20,DOWN,S01_base,291,291,36.4,0.6701,-0.060196,
Small,20,DOWN,S02_+L1,291,44,5.5,0.6818,-0.107766,-0.031174
Small,20,DOWN,S03_+L2,291,18,2.3,0.9444,-0.283056,-0.201913
Small,20,DOWN,S04_+L3,291,110,13.8,0.7545,-0.088295,-0.083691
Small,20,DOWN,S05_+L4,291,90,11.3,0.6222,-0.065643,0.031243
Small,20,DOWN,S06_+L6,291,283,35.4,0.6643,-0.058129,0.113584
Small,20,DOWN,S07_+L1+L2,291,3,0.4,1.0000,-0.351966,-0.100437
Small,20,DOWN,S08_+L1+L3,291,15,1.9,0.9333,-0.221642,-0.134689
Small,20,DOWN,S09_+L2+L3,291,8,1.0,1.0000,-0.191001,-0.103327
Small,20,DOWN,S10_+L1+L2+L3,291,1,0.1,1.0000,-0.135186,-0.022369
Small,20,DOWN,S11_+L1+L2+L3+L4,291,1,0.1,1.0000,-0.135186,-0.022369
Small,20,DOWN,S12_+L1+L2+L3+L4+L6,291,1,0.1,1.0000,-0.135186,-0.022369
